timestamp,Frequency_Hz,MechResistance_Ohm,MechCurrent_mag_A,Z_Handpiece_phase_deg,V_Handpiece_mag_V,MechCurrent_phase_deg,Z_Handpiece_mag_Ohm,I_Handpiece_mag_A,Power_W,FreqTrackingQuality,PowerSupplyVoltage,HP_Capacitance_F,FootPedalPos_pct,SucSetting_pct,IrrSetting_mL_per_min,PowSetting_pct,PulseControlState,Irrigation_Actual_ml_per_min,HP_Pressure_psi,Canister_Pressure_psi,time_s
1780343651.93671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.9366572
1780343651.9421427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.9420877
1780343651.9468925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.258014440536499,5.830043315887451,1780343651.9468188
1780343651.951713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.369034767150879,5.866491794586182,1780343651.951671
1780343651.956707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.369034767150879,5.866491794586182,1780343651.9566698
1780343651.9633946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.369034767150879,5.866491794586182,1780343651.963328
1780343651.9669042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.369034767150879,5.866491794586182,1780343651.966855
1780343651.9717002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.369034767150879,5.866491794586182,1780343651.9716582
1780343651.976682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.369034767150879,5.866491794586182,1780343651.9766467
1780343651.981688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.913280422982666e-09,0.0,50.0,15.0,90.0,0,0.0,3.369034767150879,5.866491794586182,1780343651.9816477
